"Table 2c. Gonorrhoea diagnosis numbers and rates in England and regions by gender, sexual orientation and age group 2019 to 2023",,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,
"Some annual data (numbers and rates) refers to information that can be found on the Notes, caveats and glossary worksheet: 2020 [note 14], 2021 [note 14].",,,,,,,,,,,,,,,,,,,,,,,
"Some data labels refer to information that can be found on the Notes, caveats and glossary worksheet.",,,,,,,,,,,,,,,,,,,,,,,
Shorthand is used in this table. [x] = unavailable data and [c] = confidential data [note 15].,,,,,,,,,,,,,,,,,,,,,,,
"Rates are calculated per 100,000 population.",,,,,,,,,,,,,,,,,,,,,,,
Data type: residence data [note 3].,,,,,,,,,,,,,,,,,,,,,,,
Publication date: 4 June 2024.,,,,,,,,,,,,,,,,,,,,,,,
Area of residence,STI,Gender and sexual orientation,Age group ,2019 Numbers,2020 Numbers,2021 Numbers,2022 Numbers,2023 Numbers,"2019 
Rates","2020 
Rates","2021 
Rates","2022 
Rates","2023 
Rates",,,,,,,,,,
East of England,Gonorrhoea,Women,45 to 64,53,39,34,48,67,6.1,4.5,3.9,5.5,7.6,,,,,,,,,,
East of England,Gonorrhoea,Women,65 and over,3,3,3,3,4,0.4,0.4,0.4,0.4,0.6,,,,,,,,,,
East of England,Gonorrhoea,Women,Other,0,0,2,0,0,[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,Women,Total,"1,475","1,028",741,"1,202","1,344",44.2,30.7,21.9,35.3,39.4,,,,,,,,,,
East of England,Gonorrhoea,WSM,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,WSM,15 to 19,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,WSM,20 to 24,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,WSM,25 to 34,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,WSM,35 to 44,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,WSM,45 to 64,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,WSM,65 and over,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,WSM,Other,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
East of England,Gonorrhoea,WSM,Total,"1,448",989,705,"1,152","1,262",57.3,39.2,27.9,45.6,50.0,,,,,,,,,,
East of England,Gonorrhoea,WSW,13 to 14,[c],[c],[c],[c],[c],[x],[x],[x],[x],[x],,,,,,,,,,
